F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-int[],F3-Integer,F3-Long,F3-PrintStream,F3-ResultSet,F3-InputStream,F3-TransactionController,F3-null,F3-byte[],F3-boolean,F3-Object[],F3-char,F3-String,F3-long,F3-int,F3-PrintWriter,F3-SQLException,F3-QualifiedIdentifier,F3-Connection,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-mamta@apache.org,F71-djd@apache.org,F71-lilywei@apache.org,F71-davidvc@apache.org,F71-kmarsden@apache.org,F71-rhillegas@apache.org,F71-bakksjo@apache.org,F71-mikem@apache.org,F71-myrnavl@apache.org,F71-kristwaa@apache.org,F71-dag@apache.org,F71-kahatlen@apache.org,F71-bandaram@apache.org,F71-oysteing@apache.org,F71-abrown@apache.org,F71-suresht@apache.org,F71-bernt@apache.org,F71-fuzzylogic@apache.org,F71-bpendleton@apache.org,F71-coar@apache.org,category
1034,114,85,16,0.7782374844848986,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,DMI_RANDOM_USED_ONLY_ONCE,1,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7379,5,846,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,open
1034,114,85,16,0.2772031443938767,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,I18N,DM_CONVERT_CASE,3,-1.0,0.1764705882352941,0.0014205002224847,-0.6470588235294118,0.0014205002224847,-1.0,7379,5,846,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,open
1034,114,85,16,0.8142325196524617,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,STYLE,NP_LOAD_OF_KNOWN_NULL_VALUE,2,-1.0,0.1320754716981132,0.1281008221198313,-0.7358490566037735,0.1281008221198313,-1.0,3703,5,846,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.7856847331402566,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,STYLE,NP_LOAD_OF_KNOWN_NULL_VALUE,2,-1.0,0.1320754716981132,0.1281008221198313,-0.7358490566037735,0.1281008221198313,-1.0,3703,5,846,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.7283822920976417,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,2819,5,846,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.3721555647496897,0.5753823743627094,0.3181818181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,2819,5,846,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.339056681836988,0.5753823743627094,0.3653846153846153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,2819,5,846,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.5227554820024825,0.5753823743627094,0.4130434782608695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,3983,5,846,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.3175424079437319,0.5753823743627094,0.3653846153846153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,2819,5,846,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.8773272652047993,0.5753823743627094,0.275,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,7063,5,846,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,open
1034,114,85,16,0.8866363260239967,0.5753823743627094,0.1282051282051282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,6726,5,846,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,open
1034,114,85,16,0.7281754240794374,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7379,5,846,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,open
1034,114,85,16,0.3719486967314853,0.5753823743627094,0.6363636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,621,5,846,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1034,114,85,16,0.3388498138187836,0.5753823743627094,0.6923076923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,621,5,846,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1034,114,85,16,0.522548613984278,0.5753823743627094,0.8260869565217391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,3983,5,846,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.3173355399255275,0.5753823743627094,0.6923076923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,621,5,846,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1034,114,85,16,0.877120397186595,0.5753823743627094,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7063,5,846,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,open
1034,114,85,16,0.886222589987588,0.5753823743627094,0.3846153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7063,5,846,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,open
1034,114,85,16,0.8775341332230038,0.5753823743627094,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,SECURITY,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,3,-1.0,0.0,0.0006265274484573502,-1.0,0.0006265274484573502,-1.0,2408,5,846,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.8870500620604055,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,SECURITY,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,3,-1.0,0.0,0.0006265274484573502,-1.0,0.0006265274484573502,-1.0,2408,5,846,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.7281754240794374,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,2,-1.0,0.0967741935483871,0.0006265274484573502,-0.8064516129032258,0.0006265274484573502,-1.0,7379,5,846,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,open
1034,114,85,16,0.3719486967314853,0.5753823743627094,0.6363636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,-1.0,0.0967741935483871,0.0006265274484573502,-0.8064516129032258,0.0006265274484573502,-1.0,621,5,846,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1034,114,85,16,0.3388498138187836,0.5753823743627094,0.6923076923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,-1.0,0.0967741935483871,0.0006265274484573502,-0.8064516129032258,0.0006265274484573502,-1.0,621,5,846,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1034,114,85,16,0.522548613984278,0.5753823743627094,0.8260869565217391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,-1.0,0.0967741935483871,0.0006265274484573502,-0.8064516129032258,0.0006265274484573502,-1.0,3983,5,846,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,114,85,16,0.3173355399255275,0.5753823743627094,0.6923076923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,-1.0,0.0967741935483871,0.0006265274484573502,-0.8064516129032258,0.0006265274484573502,-1.0,621,5,846,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1034,114,85,16,0.8887050062060405,0.5753823743627094,0.7692307692307693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,-1.0,0.0967741935483871,0.0006265274484573502,-0.8064516129032258,0.0006265274484573502,-1.0,2408,5,846,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1288,306,11,16,0.75,1.0579710144927537,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,STYLE,DLS_DEAD_LOCAL_STORE,2,-1.0,0.0273972602739726,0.1281008221198313,-0.9452054794520548,0.1281008221198313,-1.0,534,65,82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
8134,3245,20,16,0.3392857142857143,0.4473684210526316,0.5311355311355311,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,7378,65,110,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,open
4132,1969,4,16,0.5945945945945946,0.3636363636363636,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,BAD_PRACTICE,SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION,2,0.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,3376,65,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
956,77,24,16,0.8734693877551021,0.3248407643312102,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,7378,65,78,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,open
4740,2182,10,16,0.4479638009049774,1.091954022988506,0.7142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,CORRECTNESS,DMI_INVOKING_TOSTRING_ON_ARRAY,2,-1.0,0.0,0.02980817547403,-1.0,0.02980817547403,-1.0,3984,65,187,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
4740,2182,10,16,0.4479638009049774,1.091954022988506,0.7142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,CORRECTNESS,DMI_INVOKING_TOSTRING_ON_ARRAY,2,-1.0,0.0,0.02980817547403,-1.0,0.02980817547403,-1.0,3984,65,187,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
8134,3245,20,16,0.4325396825396825,0.4473684210526316,0.5357142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,7378,65,110,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,open
2919,1312,29,16,0.7788778877887789,0.7745098039215687,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,BAD_PRACTICE,BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,2,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7379,65,39,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,open
2919,1312,29,16,0.9851485148514852,0.7745098039215687,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.0412371134020618,0.1281008221198313,-0.9175257731958762,0.1281008221198313,-1.0,3415,65,39,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
2919,1312,29,16,0.9966996699669968,0.7745098039215687,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.0412371134020618,0.1281008221198313,-0.9175257731958762,0.1281008221198313,-1.0,3415,65,39,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
2919,1312,29,16,0.7788778877887789,0.7745098039215687,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,BAD_PRACTICE,HE_EQUALS_USE_HASHCODE,1,-1.0,0.1666666666666666,0.0043920691036579,-0.6666666666666666,0.0043920691036579,-1.0,7378,65,39,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,open
2919,1312,29,16,0.7788778877887789,0.7745098039215687,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,BAD_PRACTICE,NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,2,-1.0,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7378,65,39,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,open
2919,1312,29,16,0.9818481848184818,0.7745098039215687,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,7378,65,39,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,open
2919,1312,29,16,0.9933993399339934,0.7745098039215687,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,7378,65,39,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,open
2927,1319,7,16,0.7142857142857143,1.3863636363636365,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,STYLE,DLS_DEAD_LOCAL_STORE,2,-1.0,0.0273972602739726,0.1281008221198313,-0.9452054794520548,0.1281008221198313,-1.0,2171,65,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
8134,3245,9,16,0.5245901639344263,1.0789473684210529,0.4285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,DLS_DEAD_LOCAL_STORE_OF_NULL,3,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,2060,65,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
8134,3245,20,16,0.4325396825396825,0.4473684210526316,0.5357142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,7378,65,110,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,open
7791,2985,17,4,0.2577519379844961,0.6654676258992805,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,STYLE,BC_UNCONFIRMED_CAST,2,-1.0,0.0412371134020618,0.1281008221198313,-0.9175257731958762,0.1281008221198313,-1.0,6386,94,329,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,open
7791,2985,17,4,0.3430232558139535,0.6654676258992805,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,STYLE,BC_UNCONFIRMED_CAST,2,-1.0,0.0412371134020618,0.1281008221198313,-0.9175257731958762,0.1281008221198313,-1.0,219,94,329,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,open
7791,2985,17,4,0.3304263565891472,0.6654676258992805,0.1911764705882352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,STYLE,DB_DUPLICATE_BRANCHES,2,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,3253,94,329,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,open
926,68,6,4,0.4519230769230769,0.1830985915492957,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,PERFORMANCE,URF_UNREAD_FIELD,2,0.0,0.0754716981132075,0.1409213429552811,-0.8490566037735849,0.1409213429552811,-1.0,7035,94,120,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,open
7791,2985,13,4,0.5162790697674419,0.6052631578947368,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7035,94,55,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,open
5209,2256,5,84,0.4459459459459459,0.7857142857142857,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,PERFORMANCE,URF_UNREAD_FIELD,3,0.0,0.0754716981132075,0.1409213429552811,-0.8490566037735849,0.1409213429552811,-1.0,4453,7987,125,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,open
6515,2527,5,84,0.9666666666666668,0.6864406779661016,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.1281008221198313,-1.0,0.1281008221198313,-1.0,5759,7987,171,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
926,68,26,84,0.0714285714285714,0.2901353965183752,0.4285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,MALICIOUS_CODE,EI_EXPOSE_REP2,2,-1.0,0.0,0.1194727891156462,-1.0,0.1194727891156462,-1.0,170,7987,657,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
926,68,133,84,0.4611295681063123,0.0466034755134281,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,STYLE,DLS_DEAD_LOCAL_STORE,1,-1.0,0.0273972602739726,0.1281008221198313,-0.9452054794520548,0.1281008221198313,-1.0,170,7987,1315,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,open
