F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-((ThroughputController)el).getMaxThroughput(),F3-JMeterTreeNode,F3-StringProperty,F3-CollectionProperty,F3-TextMessage,F3-TestElementProperty,F3-GenericController,F3-HashTree,F3-byte[],F3-boolean,F3-JMeterFileFilter,F3-String,F3-InterleaveControl.IGNORE_SUB_CONTROLLERS,F3-int,F3-URL,F3-Node,F3-String[],F3-Date,F3-Locale,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-dev-null@apache.org,F71-mblankestijn@apache.org,F71-jsalvata@apache.org,F71-dims@apache.org,F71-jeremy_a@apache.org,F71-seade@apache.org,F71-oros@apache.org,F71-woolfel@apache.org,F71-pmouawad@apache.org,F71-alf@apache.org,F71-milamber@apache.org,F71-thads@apache.org,F71-sebb@apache.org,F71-mstover1@apache.org,category
8608,1693,1,24,0.5087719298245614,0.4857142857142857,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,3850,18,41,0,0,0,0,0,0,0,0,1,0,0,0,1,0,open
12838,3315,6,24,0.8909774436090225,0.4545454545454545,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.5,0.0837600739859955,0.0,0.0837600739859955,-1.0,7098,18,119,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
11455,2697,14,24,0.1981132075471698,0.2550335570469799,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,-0.3333333333333333,3038,18,140,0,0,0,0,0,0,0,0,1,0,0,0,1,0,open
10273,2393,2,24,0.4520547945205479,1.096774193548387,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,9003,18,135,0,0,0,0,1,0,0,0,0,0,0,0,1,1,open
10273,2393,19,24,0.3936170212765957,0.63,0.6867469879518072,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22,I18N,DM_DEFAULT_ENCODING,1,1.0,0.6538461538461539,1.6734601821037333e-05,0.3269230769230769,1.6734601821037333e-05,1.0,7418,18,590,0,0,0,0,0,0,0,0,0,0,0,0,1,1,close
10273,2393,19,24,0.5319148936170213,0.63,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,I18N,DM_DEFAULT_ENCODING,1,1.0,0.6538461538461539,1.6734601821037333e-05,0.3269230769230769,1.6734601821037333e-05,1.0,7418,18,590,0,0,0,0,0,0,0,0,0,0,0,0,1,1,close
10273,2393,19,24,0.5651595744680851,0.63,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22,BAD_PRACTICE,NM_CONFUSING,3,0.5,0.5,0.0837600739859955,0.0,0.0837600739859955,1.0,7418,18,590,0,0,0,0,0,0,0,0,0,0,0,0,1,1,close
10273,2393,19,24,0.3989361702127659,0.63,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.3958333333333333,0.3518318831535469,-0.2083333333333333,0.3518318831535469,1.0,3712,18,590,0,0,0,0,0,0,0,0,0,0,0,0,1,0,close
10273,2393,19,24,0.1303191489361702,0.63,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7418,18,590,0,0,0,0,0,0,0,0,0,0,0,0,1,1,open
7725,1154,1,24,0.55,0.4722222222222222,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,2967,18,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,open
10273,2393,4,24,0.3660714285714285,0.5166666666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7736,18,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,open
10273,2393,40,24,0.088235294117647,0.2213333333333333,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,9003,18,529,0,0,1,0,1,1,0,0,0,0,1,0,1,1,open
7336,920,25,24,0.3051948051948052,0.1826923076923076,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,2578,18,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
13509,3560,19,24,0.1452282157676348,0.3537414965986394,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,8872,18,277,1,0,0,0,1,0,0,0,0,0,1,0,1,1,open
13326,3497,2,24,0.696969696969697,0.6226415094339622,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,I18N,DM_DEFAULT_ENCODING,1,1.0,0.6538461538461539,1.6734601821037333e-05,0.3269230769230769,1.6734601821037333e-05,1.0,3119,18,147,0,0,0,0,0,0,0,0,1,0,0,0,1,0,close
13326,3497,2,24,0.3737373737373737,0.6226415094339622,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,8568,18,147,0,0,0,0,1,0,0,0,1,0,0,0,1,1,open
11821,2823,5,24,0.205607476635514,0.4871794871794871,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7063,18,136,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
11856,2846,21,24,0.7557251908396947,0.6214285714285714,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.5,0.0837600739859955,0.0,0.0837600739859955,0.0,7098,18,219,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
11856,2846,21,24,0.1679389312977099,0.6214285714285714,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,0.0,7098,18,219,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
13761,3795,11,21,0.5011547344110855,0.4031007751937984,0.0612244897959183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,8789,43,245,1,0,0,0,1,0,0,0,1,0,1,0,1,1,open
12176,3189,14,21,0.4729729729729729,0.2962962962962963,0.1153846153846153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,7418,43,501,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
12176,3189,14,21,0.372972972972973,0.2962962962962963,0.0894097222222222,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,7418,43,501,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
12494,3252,7,21,0.6302521008403361,0.5409836065573771,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,3712,43,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
12494,3252,7,21,0.8991596638655462,0.5409836065573771,0.875,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,3712,43,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
7336,920,10,21,0.8,0.1141304347826086,0.1428571428571428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,2578,43,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
7336,920,10,21,0.904,0.1141304347826086,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,2578,43,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
13679,3682,13,21,0.4785714285714286,0.25,0.1363636363636363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,8504,43,382,0,0,1,0,1,0,0,0,0,0,1,0,1,1,open
13679,3682,13,21,0.3214285714285714,0.25,0.1363636363636363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,8504,43,382,0,0,1,0,1,0,0,0,0,0,1,0,1,1,open
11821,2823,7,21,0.7448275862068966,0.859375,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,3712,43,161,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
11821,2823,7,21,0.593103448275862,0.859375,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,7063,43,161,0,0,0,0,0,0,0,0,0,0,0,0,1,1,open
11856,2846,8,21,0.5396825396825397,0.4571428571428571,0.4285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,3712,43,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
13761,3795,14,12,0.2549019607843137,1.608695652173913,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,9003,8,231,0,0,1,0,1,0,0,0,1,0,0,0,1,1,open
13761,3795,17,12,0.1698841698841698,1.079646017699115,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,9003,8,295,0,0,1,0,1,0,0,0,0,0,0,0,1,1,open
11952,3005,18,12,0.5294117647058824,0.4407894736842105,0.1244131455399061,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,CORRECTNESS,NP_NULL_ON_SOME_PATH_EXCEPTION,2,1.0,1.0,0.0,1.0,0.0,1.0,5516,8,128,0,0,0,0,0,0,0,0,1,0,1,0,1,0,open
11540,2729,4,12,0.5689655172413793,0.92,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,-1.0,9003,8,48,0,0,0,0,1,0,0,0,0,0,0,0,1,1,open
13654,3655,6,12,3.2025316455696204,1.76,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.5,0.0837600739859955,0.0,0.0837600739859955,-1.0,8521,8,140,0,0,1,0,1,0,0,0,0,0,0,0,1,1,open
13654,3655,6,12,3.037974683544304,1.76,0.8333333333333334,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.5,0.0837600739859955,0.0,0.0837600739859955,-1.0,9003,8,140,0,0,1,0,1,0,0,0,0,0,0,0,1,1,open
13654,3655,6,12,0.430379746835443,1.76,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,-1.0,9003,8,140,0,0,1,0,1,0,0,0,0,0,0,0,1,1,open
12475,3248,27,27,0.1180811808118081,0.3841463414634146,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7717,27,61,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
8467,1639,30,27,0.1273148148148148,0.7399103139013453,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,-0.75,9003,27,399,0,0,1,0,1,0,0,0,1,0,1,1,1,1,open
13204,3405,13,27,0.277511961722488,0.8645833333333334,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7407,27,70,0,0,0,0,0,0,0,0,1,0,1,0,1,1,open
7861,1235,13,27,0.2183908045977011,0.5151515151515151,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,-1.0,9003,27,540,0,0,1,0,1,0,0,0,0,0,0,1,1,1,open
8720,1727,17,27,0.2971428571428571,0.5957446808510638,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,9003,27,72,0,0,1,0,1,0,0,0,1,0,0,1,1,1,open
12420,3244,3,27,0.6271186440677966,1.125,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,-1.0,9003,27,225,0,0,1,0,1,0,0,0,0,0,0,1,1,1,open
13761,3795,3,27,0.5094339622641509,1.0454545454545454,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,9003,27,58,0,0,0,0,1,0,0,0,0,0,0,1,1,1,open
12469,3248,4,27,0.4204545454545454,0.8333333333333334,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7711,27,219,0,0,1,0,0,0,0,0,0,0,0,0,1,1,open
5388,133,14,27,0.2462686567164179,0.3493975903614458,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7340,27,207,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
11856,2846,7,27,0.4365079365079365,0.8387096774193549,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7098,27,180,0,0,0,0,0,0,0,0,0,0,0,0,1,1,open
7041,746,0,27,0.8518518518518519,3.4,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,-1.0,9286,27,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
13405,3532,23,27,0.1768953068592057,0.2702702702702703,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,8647,27,349,0,0,1,0,1,0,0,0,1,0,0,1,1,1,open
7860,1235,15,27,0.1573770491803278,0.5,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7840,27,388,0,0,1,0,0,0,0,0,1,0,1,0,1,1,open
11965,3009,7,27,0.2734375,0.8095238095238095,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.8813559322033898,0.3518318831535469,0.7627118644067796,0.3518318831535469,1.0,7207,27,220,0,0,0,0,0,0,0,0,1,0,0,0,1,1,open
12475,3248,9,26,0.4822134387351778,0.7933884297520661,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,3710,151,239,0,0,0,0,0,0,0,0,1,0,0,0,1,0,open
11427,2686,8,26,0.5130434782608696,0.4925373134328358,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,3710,151,84,0,0,0,0,0,0,0,0,1,0,0,0,1,0,open
11427,2686,8,26,0.6869565217391305,0.4925373134328358,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,6669,151,84,1,0,0,0,0,0,0,1,1,0,0,0,1,0,open
13761,3795,7,26,0.4347826086956521,0.4716981132075472,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,BC_UNCONFIRMED_CAST,3,1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,1.0,3710,151,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,close
13761,3795,7,26,0.6956521739130435,0.4716981132075472,0.3055555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16,STYLE,BC_UNCONFIRMED_CAST,3,1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,1.0,3710,151,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,close
13510,3560,13,26,0.3345588235294117,0.1666666666666666,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,6830,151,46,0,0,0,0,0,0,0,0,1,0,1,0,1,1,open
13510,3560,13,26,0.5110294117647058,0.1666666666666666,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.2873563218390804,0.3518318831535469,-0.3908045977011494,0.3518318831535469,-1.0,8475,151,46,0,0,1,0,1,0,0,0,1,0,1,0,1,1,open
