F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Class,F3-EncryptionOptions,F3-PrintStream,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-boolean,F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-String[],F3-Thread,F3-BitSet,F3-ListenableFutureTask,F3-input,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-xedin@apache.org,F71-jmckenzie@apache.org,F71-snazy@snazy.de,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-benedict@apache.org,F71-jakers@gmail.com,F71-marcuse@apache.org,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,category
5999,834,38,44,0.5442708333333334,0.1033333333333333,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.0384615384615384,0.054411266302256,-0.9230769230769232,0.054411266302256,-1.0,10603,95,242,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,open
12664,2081,10,69,1.1168831168831168,0.3541666666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.278234513135999,-0.7,0.278234513135999,-1.0,10932,10,31,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,open
12664,2081,10,69,0.8441558441558441,0.3541666666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.054411266302256,-0.8571428571428571,0.054411266302256,-1.0,5171,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,open
3094,259,13,69,0.7322033898305085,0.3118811881188119,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.0983606557377049,0.054411266302256,-0.7868852459016393,0.054411266302256,-1.0,4884,10,182,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,open
3003,237,19,69,4.393145161290323,0.4248366013071895,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.278234513135999,-0.7,0.278234513135999,-1.0,5171,10,239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,open
6607,958,18,69,0.8303571428571429,0.180722891566265,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.054411266302256,-0.8571428571428571,0.054411266302256,-1.0,4334,10,324,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,open
1874,29,2,13,1.3384615384615384,0.04,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.278234513135999,-0.7,0.278234513135999,-1.0,142,1050,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,open
1746,8,8,48,0.8850855745721271,0.1206349206349206,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.1794871794871795,0.278234513135999,-0.6153846153846154,0.278234513135999,-1.0,6772,230,521,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,open
4033,467,6,48,0.94,0.2037037037037037,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,0.0,0.1363636363636363,0.0653943199930746,-0.7045454545454546,0.0653943199930746,-1.0,8491,230,106,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,open
4626,567,12,48,0.1822916666666666,0.092511013215859,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,14,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,2894,230,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,open
4626,567,12,48,0.46875,0.092511013215859,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,2894,230,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,open
4626,567,12,48,0.2569444444444444,0.092511013215859,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,2894,230,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,open
4626,567,12,48,0.65625,0.092511013215859,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,2894,230,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,open
2909,210,29,165,0.9104477611940298,0.1316614420062695,0.7619047619047619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,-1.0,0.0,0.054411266302256,-1.0,0.054411266302256,-1.0,5318,2586,361,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,open
7074,1069,6,48,0.3287671232876712,0.5238095238095238,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,STYLE,RI_REDUNDANT_INTERFACES,3,0.0,0.4,0.054411266302256,-0.2,0.054411266302256,-1.0,5342,230,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,open
2282,93,1,48,0.6911764705882353,0.4090909090909091,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.0131578947368421,0.054411266302256,-0.9736842105263158,0.054411266302256,-1.0,5774,230,92,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,open
2282,93,1,48,0.9411764705882352,0.4090909090909091,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.0131578947368421,0.054411266302256,-0.9736842105263158,0.054411266302256,-1.0,5774,230,92,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,open
6009,836,93,97,0.7795981452859351,0.1468041237113402,0.2222222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,1,-1.0,0.2,0.0653943199930746,-0.4,0.0653943199930746,-1.0,9387,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.5134466769706337,0.1468041237113402,0.3488372093023256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9520,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.5020092735703245,0.1468041237113402,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9520,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.4930448222565687,0.1468041237113402,0.2307692307692307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,8586,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,open
6009,836,93,97,0.1928902627511592,0.1468041237113402,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9663,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.8757341576506955,0.1468041237113402,0.3636363636363636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9663,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.3919629057187017,0.1468041237113402,0.0396039603960396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9679,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.3740340030911901,0.1468041237113402,0.1351351351351351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9679,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.0973724884080371,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,DM_EXIT,2,-1.0,0.16,0.278234513135999,-0.64,0.278234513135999,-1.0,10121,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.7795981452859351,0.1468041237113402,0.2222222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,PERFORMANCE,DM_NUMBER_CTOR,2,-1.0,0.0,0.0653943199930746,-1.0,0.0653943199930746,-1.0,9387,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.3163833075734157,0.1468041237113402,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.278234513135999,-0.7,0.278234513135999,-1.0,12043,0,3924,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.2136012364760433,0.1468041237113402,0.4207317073170731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,NP_LOAD_OF_KNOWN_NULL_VALUE,3,-1.0,0.0,0.054411266302256,-1.0,0.054411266302256,-1.0,8152,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,open
6009,836,93,97,0.7301391035548687,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.0983606557377049,0.054411266302256,-0.7868852459016393,0.054411266302256,-1.0,12043,0,3924,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.7292117465224112,0.1468041237113402,0.6111111111111112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,-1.0,0.1,0.0653943199930746,-0.8,0.0653943199930746,-1.0,7165,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,open
6009,836,93,97,0.5394126738794436,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,157,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.236734693877551,0.0653943199930746,-0.436734693877551,0.0653943199930746,-1.0,12043,0,3924,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.9845440494590416,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.0983606557377049,0.054411266302256,-0.7868852459016393,0.054411266302256,-1.0,12043,0,3924,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.9978361669242658,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.0983606557377049,0.054411266302256,-0.7868852459016393,0.054411266302256,-1.0,12043,0,3924,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.9360123647604328,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,157,BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,0.0,0.3617021276595745,0.278234513135999,-0.2340425531914893,0.278234513135999,-1.0,12043,0,3924,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.0306027820710973,0.1468041237113402,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9663,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.9335394126738794,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,157,BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,0.0,0.3617021276595745,0.278234513135999,-0.2340425531914893,0.278234513135999,-1.0,12043,0,3924,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,open
6009,836,93,97,0.1276661514683153,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0,0.054411266302256,-1.0,0.054411266302256,-1.0,8406,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,open
6009,836,93,97,0.1270479134466769,0.1468041237113402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0,0.054411266302256,-1.0,0.054411266302256,-1.0,8406,0,3924,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,open
13775,2403,8,97,0.6511627906976745,0.324074074074074,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9454,0,146,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
13775,2403,8,97,0.8197674418604651,0.324074074074074,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.0714285714285714,9.026974593019176e-05,-0.8571428571428571,9.026974593019176e-05,-1.0,9454,0,146,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
13775,2403,90,97,0.6604064039408867,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.278234513135999,-0.7,0.278234513135999,-1.0,12043,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2403,90,97,0.6604064039408867,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.278234513135999,-0.7,0.278234513135999,-1.0,12043,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2403,90,97,0.6114532019704434,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.024390243902439,0.054411266302256,-0.951219512195122,0.054411266302256,-1.0,12043,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2403,90,97,0.5942118226600985,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,157,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.024390243902439,0.054411266302256,-0.951219512195122,0.054411266302256,-1.0,12043,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2403,90,97,0.729679802955665,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.024390243902439,0.054411266302256,-0.951219512195122,0.054411266302256,-1.0,12043,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2403,90,97,0.9947660098522167,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,0.0,0.1363636363636363,0.0653943199930746,-0.7045454545454546,0.0653943199930746,-1.0,12043,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
8190,1311,10,97,0.6412776412776413,0.1589403973509933,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.1067961165048543,9.026974593019176e-05,-0.7572815533980582,9.026974593019176e-05,-1.0,3579,0,380,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,open
8190,1311,10,97,0.538083538083538,0.1589403973509933,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,DM_EXIT,3,-1.0,0.16,0.278234513135999,-0.64,0.278234513135999,-1.0,10121,0,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,open
8190,1311,10,97,0.3906633906633907,0.1589403973509933,0.4444444444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,MT_CORRECTNESS,LI_LAZY_INIT_STATIC,3,-1.0,0.3333333333333333,0.2987971230158731,-0.3333333333333333,0.2987971230158731,-1.0,12043,0,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,open
8190,1311,10,97,0.6068796068796068,0.1589403973509933,0.0972222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,MT_CORRECTNESS,LI_LAZY_INIT_STATIC,3,-1.0,0.3333333333333333,0.2987971230158731,-0.3333333333333333,0.2987971230158731,-1.0,12043,0,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,open
8190,1311,10,97,0.1498771498771498,0.1589403973509933,0.0373134328358208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,MT_CORRECTNESS,LI_LAZY_INIT_UPDATE_STATIC,3,-1.0,0.5,0.2987971230158731,0.0,0.2987971230158731,-1.0,12043,0,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,open
8190,1311,10,97,0.7542997542997543,0.1589403973509933,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.0384615384615384,0.054411266302256,-0.9230769230769232,0.054411266302256,-1.0,9454,0,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,open
