F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Class,F3-EncryptionOptions,F3-Composites.EMPTY,F3-PrintStream,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-boolean,F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-String[],F3-Thread,F3-BitSet,F3-input,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-xedin@apache.org,F71-jmckenzie@apache.org,F71-povel.y@gmail.com,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-benedict@apache.org,F71-jakers@gmail.com,F71-marcuse@apache.org,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,category
12664,1808,10,69,1.1168831168831168,0.3541666666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.3307516718356721,-0.7,0.3307516718356721,-1.0,9514,26,76,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,open
12664,1808,10,69,0.8441558441558441,0.3541666666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.4285714285714285,0.7658131194859842,0.0,0.7658131194859842,-1.0,3753,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,open
6843,753,16,69,0.764179104477612,0.2669491525423729,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.3818181818181818,0.7658131194859842,-0.2,0.7658131194859842,1.0,3466,26,214,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,close
6843,753,16,69,0.2716417910447761,0.2669491525423729,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2,1.0,0.0549450549450549,0.7658131194859842,-0.8791208791208791,0.7658131194859842,1.0,361,26,214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,close
6843,753,16,69,0.2567164179104477,0.2669491525423729,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2,1.0,0.0549450549450549,0.7658131194859842,-0.8791208791208791,0.7658131194859842,1.0,367,26,214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,close
6903,763,19,69,4.387096774193548,0.4248366013071895,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.3307516718356721,-0.7,0.3307516718356721,-1.0,3753,26,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,open
6607,685,17,69,0.8240740740740741,0.1890756302521008,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.4285714285714285,0.7658131194859842,0.0,0.7658131194859842,-1.0,2916,26,55,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
3150,0,2,13,1.3384615384615384,0.04,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.3307516718356721,-0.7,0.3307516718356721,-1.0,10625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
4898,338,8,48,0.8633720930232558,0.0827338129496402,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.4482758620689655,0.3307516718356721,-0.0689655172413793,0.3307516718356721,-1.0,5354,9,310,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,open
4033,194,6,48,0.94,0.205607476635514,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,0.0,0.108695652173913,0.1947702742632286,-0.7608695652173914,0.1947702742632286,-1.0,7073,9,149,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,open
4626,294,12,48,0.1822916666666666,0.092511013215859,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,13,I18N,DM_CONVERT_CASE,3,1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,0.5,1476,9,240,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,close
4626,294,12,48,0.46875,0.092511013215859,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,0.5,1476,9,240,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,open
4626,294,12,48,0.2569444444444444,0.092511013215859,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,I18N,DM_CONVERT_CASE,3,1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,0.5,1476,9,240,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,close
4626,294,12,48,0.65625,0.092511013215859,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,I18N,DM_CONVERT_CASE,3,1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,0.5,1476,9,240,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,close
4559,287,23,158,0.923529411764706,0.1417910447761194,0.7619047619047619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,112,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,-1.0,0.0,0.7658131194859842,-1.0,0.7658131194859842,-1.0,3900,48,52,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,open
6110,588,1,48,0.6911764705882353,0.4090909090909091,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,STYLE,BC_UNCONFIRMED_CAST,3,1.0,0.3333333333333333,0.7658131194859842,-0.3055555555555556,0.7658131194859842,1.0,4356,9,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,close
6110,588,1,48,0.9411764705882352,0.4090909090909091,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,STYLE,BC_UNCONFIRMED_CAST,3,1.0,0.3333333333333333,0.7658131194859842,-0.3055555555555556,0.7658131194859842,1.0,4356,9,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,close
6009,563,93,97,0.7793935643564357,0.1469859620148637,0.2222222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,1,-1.0,0.1428571428571428,0.1947702742632286,-0.5714285714285714,0.1947702742632286,-1.0,7969,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.5129950495049505,0.1469859620148637,0.3488372093023256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8102,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.5015470297029703,0.1469859620148637,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8102,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.4925742574257425,0.1469859620148637,0.2307692307692307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,7168,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,open
6009,563,93,97,0.192759900990099,0.1469859620148637,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8245,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.8756188118811881,0.1469859620148637,0.3636363636363636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8245,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.3920173267326732,0.1469859620148637,0.0404040404040404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8261,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.3740717821782178,0.1469859620148637,0.1351351351351351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8261,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.0971534653465346,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,DM_EXIT,2,-1.0,0.1666666666666666,0.3307516718356721,-0.6041666666666666,0.3307516718356721,-1.0,8703,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.7793935643564357,0.1469859620148637,0.2222222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,PERFORMANCE,DM_NUMBER_CTOR,2,-1.0,0.0,0.1947702742632286,-0.75,0.1947702742632286,-1.0,7969,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.3162128712871287,0.1469859620148637,0.75,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.3307516718356721,-0.7,0.3307516718356721,-1.0,10625,3,3923,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.2134900990099009,0.1469859620148637,0.4207317073170731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,NP_LOAD_OF_KNOWN_NULL_VALUE,3,-1.0,0.0127388535031847,0.7658131194859842,-0.9745222929936306,0.7658131194859842,-1.0,6734,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,open
6009,563,93,97,0.7298886138613861,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.3818181818181818,0.7658131194859842,-0.2,0.7658131194859842,-1.0,10625,3,3923,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.7289603960396039,0.1469859620148637,0.6111111111111112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,-1.0,0.3333333333333333,0.1947702742632286,-0.3333333333333333,0.1947702742632286,-1.0,5747,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,open
6009,563,93,97,0.5389851485148515,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,157,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.6327433628318584,0.1947702742632286,0.3849557522123893,0.1947702742632286,-1.0,10625,3,3923,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.9845297029702972,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.3818181818181818,0.7658131194859842,-0.2,0.7658131194859842,-1.0,10625,3,3923,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.9978341584158416,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.3818181818181818,0.7658131194859842,-0.2,0.7658131194859842,-1.0,10625,3,3923,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.9359529702970296,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,157,BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,0.0,0.2553191489361702,0.3307516718356721,-0.4468085106382978,0.3307516718356721,-1.0,10625,3,3923,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.0303217821782178,0.1469859620148637,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8245,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.9334777227722773,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,157,BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,0.0,0.2553191489361702,0.3307516718356721,-0.4468085106382978,0.3307516718356721,-1.0,10625,3,3923,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,open
6009,563,93,97,0.1274752475247524,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0,0.7658131194859842,-1.0,0.7658131194859842,-1.0,6988,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,open
6009,563,93,97,0.1268564356435643,0.1469859620148637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0,0.7658131194859842,-1.0,0.7658131194859842,-1.0,6988,3,3923,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,open
13775,2130,8,97,0.6511627906976745,0.324074074074074,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8036,3,146,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
13775,2130,8,97,0.8197674418604651,0.324074074074074,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_CONVERT_CASE,3,-1.0,0.1851851851851851,0.0085751642500655,-0.6296296296296297,0.0085751642500655,-1.0,8036,3,146,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
13775,2130,90,97,0.6604064039408867,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.3307516718356721,-0.7,0.3307516718356721,-1.0,10625,3,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2130,90,97,0.6604064039408867,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.15,0.3307516718356721,-0.7,0.3307516718356721,-1.0,10625,3,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2130,90,97,0.6114532019704434,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.0245901639344262,0.7658131194859842,-0.9467213114754098,0.7658131194859842,-1.0,10625,3,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2130,90,97,0.5942118226600985,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,157,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.0245901639344262,0.7658131194859842,-0.9467213114754098,0.7658131194859842,-1.0,10625,3,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2130,90,97,0.729679802955665,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.0245901639344262,0.7658131194859842,-0.9467213114754098,0.7658131194859842,-1.0,10625,3,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
13775,2130,90,97,0.9947660098522167,0.216933445661331,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,0.0,0.108695652173913,0.1947702742632286,-0.7608695652173914,0.1947702742632286,-1.0,10625,3,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
8190,1038,10,97,0.6412776412776413,0.1589403973509933,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.5294117647058824,0.0085751642500655,0.1372549019607843,0.0085751642500655,-1.0,2161,3,380,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,open
8190,1038,10,97,0.538083538083538,0.1589403973509933,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,BAD_PRACTICE,DM_EXIT,3,-1.0,0.1666666666666666,0.3307516718356721,-0.6041666666666666,0.3307516718356721,-1.0,8703,3,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,open
8190,1038,10,97,0.3906633906633907,0.1589403973509933,0.4444444444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,MT_CORRECTNESS,LI_LAZY_INIT_STATIC,3,-1.0,0.3333333333333333,0.2559230299614915,-0.3333333333333333,0.2559230299614915,-1.0,10625,3,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,open
8190,1038,10,97,0.6068796068796068,0.1589403973509933,0.0972222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,MT_CORRECTNESS,LI_LAZY_INIT_STATIC,3,-1.0,0.3333333333333333,0.2559230299614915,-0.3333333333333333,0.2559230299614915,-1.0,10625,3,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,open
8190,1038,10,97,0.1498771498771498,0.1589403973509933,0.0373134328358208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,MT_CORRECTNESS,LI_LAZY_INIT_UPDATE_STATIC,3,-1.0,0.5,0.2559230299614915,0.0,0.2559230299614915,-1.0,10625,3,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,open
8190,1038,10,97,0.7542997542997543,0.1589403973509933,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,157,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.1153846153846153,0.7658131194859842,-0.7692307692307693,0.7658131194859842,-1.0,8036,3,380,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,open
