F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-CFMetaData,F3-Class,F3-EncryptionOptions,F3-Composites.EMPTY,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-type.toString().toLowerCase(),F3-boolean,F3-e.getKey().toLowerCase(),F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-BitSet,F3-input,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-xedin@apache.org,F71-povel.y@gmail.com,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-jakers@gmail.com,F71-benedict@apache.org,F71-marcuse@apache.org,F71-marcuse@spotify.com,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,category
12664,1716,10,69,1.1168831168831168,0.3541666666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1875,0.3922751223959884,-0.625,0.3922751223959884,-1.0,9181,13,76,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,open
12664,1716,10,69,0.8441558441558441,0.3541666666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.4285714285714285,0.7759481653230883,0.0,0.7759481653230883,-1.0,3420,13,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,open
6843,661,16,69,0.6835106382978723,0.2359550561797752,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.3404255319148936,0.7759481653230883,-0.2765957446808511,0.7759481653230883,1.0,3133,13,170,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,close
6843,661,16,69,0.2393617021276596,0.2359550561797752,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2,1.0,0.0549450549450549,0.7759481653230883,-0.8791208791208791,0.7759481653230883,1.0,28,13,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
6843,661,16,69,0.226063829787234,0.2359550561797752,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2,1.0,0.0549450549450549,0.7759481653230883,-0.8791208791208791,0.7759481653230883,1.0,34,13,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
6607,593,17,69,0.8251533742331288,0.1875,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.4285714285714285,0.7759481653230883,0.0,0.7759481653230883,-1.0,2583,13,256,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
3483,0,4,13,0.8529411764705882,0.3384615384615385,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1875,0.3922751223959884,-0.625,0.3922751223959884,-1.0,10292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
4898,246,6,48,0.4481605351170568,0.0875,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.3404255319148936,0.7759481653230883,-0.2765957446808511,0.7759481653230883,0.0,6870,31,285,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,close
4898,246,6,48,0.8394648829431438,0.0875,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.4642857142857143,0.3922751223959884,-0.0357142857142857,0.3922751223959884,0.0,5021,31,285,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,open
4033,102,7,48,0.945121951219512,0.1833333333333333,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,0.0,0.1538461538461538,0.1851216715970729,-0.6666666666666666,0.1851216715970729,-1.0,6740,31,149,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,open
4626,202,12,48,0.1822916666666666,0.092511013215859,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,14,I18N,DM_CONVERT_CASE,3,1.0,0.3666666666666666,0.0034916668319417,-0.2666666666666666,0.0034916668319417,1.0,1143,31,234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,close
4626,202,12,48,0.46875,0.092511013215859,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,I18N,DM_CONVERT_CASE,3,1.0,0.3666666666666666,0.0034916668319417,-0.2666666666666666,0.0034916668319417,1.0,1143,31,234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,close
4626,202,12,48,0.2569444444444444,0.092511013215859,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,I18N,DM_CONVERT_CASE,3,1.0,0.3666666666666666,0.0034916668319417,-0.2666666666666666,0.0034916668319417,1.0,1143,31,234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,close
4626,202,12,48,0.65625,0.092511013215859,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,I18N,DM_CONVERT_CASE,3,1.0,0.3666666666666666,0.0034916668319417,-0.2666666666666666,0.0034916668319417,1.0,1143,31,234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,close
4559,195,23,155,0.9233038348082596,0.1423220973782771,0.7619047619047619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,109,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,-1.0,0.0,0.7759481653230883,-1.0,0.7759481653230883,-1.0,3567,9,52,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,open
6110,496,1,48,0.6911764705882353,0.4090909090909091,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,STYLE,BC_UNCONFIRMED_CAST,3,1.0,0.4528301886792453,0.7759481653230883,-0.0566037735849056,0.7759481653230883,1.0,4023,31,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,close
6110,496,1,48,0.9411764705882352,0.4090909090909091,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,STYLE,BC_UNCONFIRMED_CAST,3,1.0,0.4528301886792453,0.7759481653230883,-0.0566037735849056,0.7759481653230883,1.0,4023,31,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,close
11801,1510,5,2,0.8524590163934426,0.2857142857142857,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,STYLE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,1.0,0.3636363636363636,0.7759481653230883,-0.0909090909090909,0.7759481653230883,1.0,8028,6,95,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,close
8459,995,3,2,0.9297520661157024,0.3717948717948718,0.4516129032258064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,I18N,DM_DEFAULT_ENCODING,1,1.0,0.5816326530612245,0.0034916668319417,0.2448979591836734,0.0034916668319417,1.0,7876,6,104,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,close
8459,995,3,2,0.8512396694214877,0.3717948717948718,0.6129032258064516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,I18N,DM_DEFAULT_ENCODING,1,1.0,0.5816326530612245,0.0034916668319417,0.2448979591836734,0.0034916668319417,1.0,7876,6,104,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,close
8459,995,3,2,0.4132231404958678,0.3717948717948718,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,CORRECTNESS,UR_UNINIT_READ,2,1.0,1.0,0.4284036988589398,1.0,0.4284036988589398,1.0,5433,6,104,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,close
4142,124,15,59,0.8986784140969163,0.1016949152542373,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,3,1.0,0.4642857142857143,0.3922751223959884,-0.0357142857142857,0.3922751223959884,1.0,659,19,180,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,close
7412,763,19,59,0.2031425364758698,0.4640883977900552,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.4528301886792453,0.7759481653230883,-0.0566037735849056,0.7759481653230883,-1.0,5950,19,379,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,open
12688,1721,1,59,0.7166666666666667,0.5714285714285714,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.6587677725118484,0.1851216715970729,0.4407582938388625,0.1851216715970729,-1.0,9205,19,48,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
4142,124,2,59,0.415929203539823,0.2666666666666666,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_NEEDS_THIS,3,0.0,0.25,0.1851216715970729,-0.5,0.1851216715970729,1.0,659,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
4552,193,1,59,0.75,0.1157894736842105,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,1.0,0.8,0.7759481653230883,0.6666666666666666,0.7759481653230883,1.0,1390,19,179,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,close
4142,124,3,59,0.3991228070175439,0.1381215469613259,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,2,1.0,0.4666666666666667,0.3922751223959884,-0.0666666666666666,0.3922751223959884,1.0,659,19,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
4142,124,3,59,0.2894736842105263,0.1381215469613259,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,2,1.0,0.4666666666666667,0.3922751223959884,-0.0666666666666666,0.3922751223959884,1.0,659,19,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
4142,124,24,59,1.0463917525773196,0.2200956937799043,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1875,0.3922751223959884,-0.625,0.3922751223959884,-1.0,659,19,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
4142,124,24,59,0.8006872852233677,0.2200956937799043,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,3,-1.0,0.4642857142857143,0.3922751223959884,-0.0357142857142857,0.3922751223959884,-1.0,659,19,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
4142,124,3,59,0.5728155339805825,1.5135135135135136,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,BAD_PRACTICE,SE_BAD_FIELD,2,0.0,0.125,0.3922751223959884,-0.75,0.3922751223959884,0.0,659,19,85,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,open
4142,124,11,59,0.0701298701298701,0.4721030042918455,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,BAD_PRACTICE,SE_NO_SERIALVERSIONID,3,0.0,0.4367816091954023,0.3922751223959884,-0.1091954022988505,0.3922751223959884,-1.0,659,19,318,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
11635,1485,0,59,0.9384615384615383,0.3777777777777777,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,I18N,DM_CONVERT_CASE,3,-1.0,0.3666666666666666,0.0034916668319417,-0.2666666666666666,0.0034916668319417,-1.0,7688,19,49,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,open
11635,1485,0,59,0.9384615384615383,0.3777777777777777,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,2,-1.0,0.5,0.1851216715970729,0.0,0.1851216715970729,-1.0,7688,19,49,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,open
5098,302,6,59,0.2784810126582278,0.1587301587301587,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,24,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.6587677725118484,0.1851216715970729,0.4407582938388625,0.1851216715970729,1.0,1615,19,137,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,close
5098,302,6,59,0.6012658227848101,0.1587301587301587,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,STYLE,DLS_DEAD_LOCAL_STORE,2,1.0,0.2481203007518796,0.7759481653230883,-0.5037593984962406,0.7759481653230883,1.0,1615,19,137,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,close
5098,302,6,59,0.5316455696202531,0.1587301587301587,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,24,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.6587677725118484,0.1851216715970729,0.4407582938388625,0.1851216715970729,1.0,1615,19,137,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,close
5098,302,6,59,0.7784810126582279,0.1587301587301587,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,24,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.6587677725118484,0.1851216715970729,0.4407582938388625,0.1851216715970729,1.0,1615,19,137,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,close
4759,229,136,53,0.5535168195718655,0.1359773371104816,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,STYLE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,1.0,0.3636363636363636,0.7759481653230883,-0.0909090909090909,0.7759481653230883,1.0,3197,140,3194,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,close
4759,229,136,53,0.254696373962429,0.1359773371104816,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,I18N,DM_DEFAULT_ENCODING,1,1.0,0.5816326530612245,0.0034916668319417,0.2448979591836734,0.0034916668319417,1.0,4265,140,3194,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,close
4759,229,136,53,0.5565749235474006,0.1359773371104816,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.3404255319148936,0.7759481653230883,-0.2765957446808511,0.7759481653230883,1.0,10292,140,3194,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,close
4759,229,136,53,0.9536915683704674,0.1359773371104816,0.4952380952380952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,STYLE,SF_SWITCH_NO_DEFAULT,2,1.0,0.037037037037037,0.7759481653230883,-0.925925925925926,0.7759481653230883,1.0,10292,140,3194,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,close
4759,229,136,53,0.1607688947138488,0.1359773371104816,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,I18N,DM_CONVERT_CASE,3,1.0,0.3666666666666666,0.0034916668319417,-0.2666666666666666,0.0034916668319417,1.0,3188,140,3194,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,close
11453,1456,40,53,0.1649269311064718,0.1752873563218391,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,I18N,DM_CONVERT_CASE,3,1.0,0.3666666666666666,0.0034916668319417,-0.2666666666666666,0.0034916668319417,1.0,1752,140,345,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
11453,1456,40,53,0.150313152400835,0.1752873563218391,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,I18N,DM_CONVERT_CASE,3,1.0,0.3666666666666666,0.0034916668319417,-0.2666666666666666,0.0034916668319417,1.0,1752,140,345,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
4980,266,164,53,0.0871985157699443,0.0511450381679389,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,BAD_PRACTICE,DM_EXIT,3,1.0,0.3953488372093023,0.3922751223959884,-0.1395348837209302,0.3922751223959884,1.0,10292,140,3465,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,close
4980,266,164,53,0.3821892393320965,0.0511450381679389,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,BAD_PRACTICE,DM_EXIT,3,1.0,0.3953488372093023,0.3922751223959884,-0.1395348837209302,0.3922751223959884,1.0,10292,140,3465,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,close
4980,266,164,53,0.4588744588744589,0.0511450381679389,0.3977272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,BAD_PRACTICE,DM_EXIT,3,1.0,0.3953488372093023,0.3922751223959884,-0.1395348837209302,0.3922751223959884,1.0,10292,140,3465,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,close
4980,266,164,53,0.9814471243042672,0.0511450381679389,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,BAD_PRACTICE,DM_EXIT,3,1.0,0.3953488372093023,0.3922751223959884,-0.1395348837209302,0.3922751223959884,1.0,10292,140,3465,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,close
4980,266,164,53,0.2776747062461348,0.0511450381679389,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,MT_CORRECTNESS,LI_LAZY_INIT_STATIC,3,1.0,1.0,0.3313593294460641,1.0,0.3313593294460641,1.0,10292,140,3465,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,close
4980,266,164,53,0.4131106988249845,0.0511450381679389,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,STYLE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,1.0,0.5,0.7759481653230883,0.125,0.7759481653230883,1.0,8662,140,3465,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,close
4980,266,164,53,0.3797155225726654,0.0511450381679389,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.3404255319148936,0.7759481653230883,-0.2765957446808511,0.7759481653230883,1.0,10292,140,3465,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,close
6786,637,16,53,0.9290780141843972,0.1309523809523809,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,BAD_PRACTICE,DE_MIGHT_IGNORE,2,1.0,0.8333333333333334,0.3922751223959884,0.6666666666666666,0.3922751223959884,1.0,4640,140,128,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,close
