F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Class,F3-Integer,F3-Long,F3-PrintStream,F3-File,F3-InputStream,F3-Project,F3-getConfig().baseNameTerminator,F3-null,F3-byte[],F3-boolean,F3-Object,F3-FileInputStream,F3-FileOutputStream,F3-char,F3-nestedTask.getTaskName(),F3-String,F3-int,F3-Project.MSG_DEBUG,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-kevj@apache.org,F71-jskeet@apache.org,F71-donaldp@apache.org,F71-antoine@apache.org,F71-jkf@apache.org,F71-stevel@apache.org,F71-jglick@apache.org,F71-mclarke@unknown,F71-bodewig@apache.org,F71-stefano@apache.org,F71-umagesh@apache.org,F71-sbailliez@apache.org,F71-ehatcher@apache.org,F71-costin@apache.org,F71-rubys@apache.org,F71-peterreilly@apache.org,F71-hibou@apache.org,F71-conor@apache.org,F71-mbenson@apache.org,F71-jhm@apache.org,category
6363,3978,22,155,0.5912596401028277,0.7871287128712872,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.0625,0.1524264447196081,-0.875,0.1524264447196081,-1.0,6920,0,193,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,open
6363,3978,22,155,0.5655526992287918,0.7871287128712872,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,-1.0,0.0625,0.1524264447196081,-0.875,0.1524264447196081,-1.0,6920,0,193,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,open
718,860,10,155,0.9005847953216374,0.2796610169491525,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,306,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,open
718,860,10,155,0.9035087719298246,0.2796610169491525,0.0859375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,CORRECTNESS,NP_NULL_ON_SOME_PATH_EXCEPTION,2,-1.0,0.0,0.0130208333333333,-1.0,0.0130208333333333,-1.0,306,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,open
8618,4572,125,155,0.0541516245487364,1.374233128834356,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,SE_BAD_FIELD,2,0.0,0.0,0.159771610673744,-1.0,0.159771610673744,-1.0,13082,0,9517,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,open
13494,5466,29,155,0.0845864661654135,0.9710743801652892,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,SE_BAD_FIELD,2,0.0,0.0,0.159771610673744,-1.0,0.159771610673744,0.0,13082,0,879,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,open
13494,5466,29,155,0.1767151767151767,1.5402298850574712,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,113,BAD_PRACTICE,SE_BAD_FIELD,2,0.0,0.0,0.159771610673744,-1.0,0.159771610673744,0.0,13082,0,800,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,open
492,261,11,155,0.5534591194968553,1.238095238095238,0.0869565217391304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,80,0,271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,open
492,261,11,155,0.3459119496855345,1.238095238095238,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.0297029702970297,0.1524264447196081,-0.9405940594059404,0.1524264447196081,-1.0,80,0,271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,open
492,261,11,155,0.3113207547169811,1.238095238095238,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.0297029702970297,0.1524264447196081,-0.9405940594059404,0.1524264447196081,-1.0,80,0,271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,open
492,261,11,155,0.6163522012578616,1.238095238095238,0.6956521739130435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,113,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.0297029702970297,0.1524264447196081,-0.9405940594059404,0.1524264447196081,-1.0,80,0,271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,open
6363,3978,37,155,0.5481418918918919,1.0304182509505704,0.2159090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,7538,0,759,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,open
6363,3978,37,155,0.8175675675675675,1.0304182509505704,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,113,BAD_PRACTICE,UI_INHERITANCE_UNSAFE_GETRESOURCE,1,-1.0,0.0,0.159771610673744,-1.0,0.159771610673744,-1.0,9756,0,759,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,open
6363,3978,37,155,0.3834459459459459,1.0304182509505704,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.0297029702970297,0.1524264447196081,-0.9405940594059404,0.1524264447196081,-1.0,11021,0,759,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,open
6363,3978,37,155,0.3277027027027027,1.0304182509505704,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.0297029702970297,0.1524264447196081,-0.9405940594059404,0.1524264447196081,-1.0,11021,0,759,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,open
8127,4379,46,155,0.4577656675749318,0.6474358974358975,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,MALICIOUS_CODE,EI_EXPOSE_REP,2,-1.0,0.0,0.172399843912591,-1.0,0.172399843912591,-1.0,6920,0,1637,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,open
8127,4379,46,155,0.40236148955495,0.6474358974358975,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,MALICIOUS_CODE,EI_EXPOSE_REP,2,-1.0,0.0,0.172399843912591,-1.0,0.172399843912591,-1.0,6915,0,1637,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,open
8127,4379,46,155,0.3769300635785649,0.6474358974358975,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,MALICIOUS_CODE,EI_EXPOSE_REP,2,-1.0,0.0,0.172399843912591,-1.0,0.172399843912591,-1.0,7715,0,1637,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,open
645,607,5,155,0.9078947368421052,0.717948717948718,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,113,STYLE,DLS_DEAD_LOCAL_STORE,2,-1.0,0.0,0.1524264447196081,-1.0,0.1524264447196081,-1.0,233,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open
11125,4763,20,155,0.2921052631578947,0.943502824858757,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,10767,0,369,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,open
11125,4763,20,155,0.2657894736842105,0.943502824858757,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,10767,0,369,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,open
1741,1970,2,155,0.7012987012987013,0.3333333333333333,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,113,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.0,0.0,-1.0,0.0,-1.0,1329,0,68,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,open
6363,3978,10,155,0.6907630522088354,1.1132075471698113,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,9388,0,290,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,open
6363,3978,10,155,0.7469879518072289,1.1132075471698113,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,9388,0,290,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,open
8614,4558,35,155,0.7027195027195028,0.4541387024608501,0.0698496905393457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,8202,0,400,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,open
8614,4558,35,155,0.6811188811188811,0.4541387024608501,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,OS_OPEN_STREAM,2,-1.0,0.375,0.159771610673744,-0.25,0.159771610673744,-1.0,8177,0,400,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,open
8614,4558,35,155,0.158041958041958,0.4541387024608501,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.1524264447196081,-1.0,0.1524264447196081,-1.0,8202,0,400,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,open
8614,4558,35,155,0.2783216783216783,0.4541387024608501,0.2142857142857142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.0625,0.1524264447196081,-0.875,0.1524264447196081,-1.0,7857,0,400,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,open
8614,4558,35,155,0.3048951048951049,0.4541387024608501,0.2142857142857142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.0625,0.1524264447196081,-0.875,0.1524264447196081,-1.0,1510,0,400,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,open
8614,4558,35,155,0.862937062937063,0.4541387024608501,0.3787878787878788,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,113,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.0128205128205128,0.159771610673744,-0.9743589743589745,0.159771610673744,-1.0,4848,0,400,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,open
11142,4764,71,155,0.9710526315789474,0.9931740614334472,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_CONVERT_CASE,3,-1.0,0.0,0.00022869617867212863,-1.0,0.00022869617867212863,-0.8181818181818182,1784,0,2818,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,open
11142,4764,71,155,0.8068421052631579,0.9931740614334472,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_CONVERT_CASE,3,-1.0,0.0,0.00022869617867212863,-1.0,0.00022869617867212863,-0.8181818181818182,1784,0,2818,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,open
11142,4764,71,155,0.7315789473684211,0.9931740614334472,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_CONVERT_CASE,3,-1.0,0.0,0.00022869617867212863,-1.0,0.00022869617867212863,-0.8181818181818182,1784,0,2818,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,open
11142,4764,71,155,0.4273684210526315,0.9931740614334472,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,MALICIOUS_CODE,EI_EXPOSE_REP2,2,-1.0,0.0,0.172399843912591,-1.0,0.172399843912591,-0.8181818181818182,8260,0,2818,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,open
11142,4764,71,155,0.4094736842105263,0.9931740614334472,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,MT_CORRECTNESS,IS2_INCONSISTENT_SYNC,2,0.0,0.0,0.1552560196195005,-1.0,0.1552560196195005,-0.8181818181818182,2320,0,2818,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,open
11142,4764,71,155,0.4589473684210526,0.9931740614334472,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,MT_CORRECTNESS,IS2_INCONSISTENT_SYNC,2,0.0,0.0,0.1552560196195005,-1.0,0.1552560196195005,-0.8181818181818182,4833,0,2818,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,open
11142,4764,71,155,0.0784210526315789,0.9931740614334472,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,MALICIOUS_CODE,MS_PKGPROTECT,2,0.0,0.9,0.172399843912591,0.8,0.172399843912591,-0.8181818181818182,8570,0,2818,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,close
11142,4764,71,155,0.3989473684210526,0.9931740614334472,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0655737704918032,0.159771610673744,-0.8688524590163934,0.159771610673744,-0.8181818181818182,13049,0,2818,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,open
11142,4764,71,155,0.3905263157894736,0.9931740614334472,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,113,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0655737704918032,0.159771610673744,-0.8688524590163934,0.159771610673744,-0.8181818181818182,13049,0,2818,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,open
11142,4764,71,155,0.1905263157894736,0.9931740614334472,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0655737704918032,0.159771610673744,-0.8688524590163934,0.159771610673744,-0.8181818181818182,13049,0,2818,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,open
11834,4920,31,155,0.8656462585034014,0.1012658227848101,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_CONVERT_CASE,3,-1.0,0.0,0.00022869617867212863,-1.0,0.00022869617867212863,-1.0,4304,0,215,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,open
11834,4920,31,155,0.7312925170068028,0.1012658227848101,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,113,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.0625,0.1524264447196081,-0.875,0.1524264447196081,-1.0,80,0,215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,open
11834,4920,31,155,0.5476190476190477,0.1012658227848101,0.9230769230769232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,UCF_USELESS_CONTROL_FLOW,3,-1.0,0.0,0.1524264447196081,-1.0,0.1524264447196081,-1.0,5216,0,215,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,open
492,261,3,155,0.5795454545454546,1.0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,80,0,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,open
6392,3984,43,155,0.2275071633237822,0.6717635066258919,0.2171052631578947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,CORRECTNESS,NP_NULL_ON_SOME_PATH,2,-1.0,0.0,0.0130208333333333,-1.0,0.0130208333333333,-1.0,2426,0,2725,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,open
6392,3984,43,155,0.6636103151862465,0.6717635066258919,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,PERFORMANCE,DM_NUMBER_CTOR,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,2459,0,2725,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,open
6392,3984,43,155,0.6189111747851003,0.6717635066258919,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,PERFORMANCE,DM_NUMBER_CTOR,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,2383,0,2725,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,open
6363,3978,59,155,0.1349862258953168,0.1223776223776223,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,DLS_DEAD_LOCAL_STORE,2,-1.0,0.0,0.1524264447196081,-1.0,0.1524264447196081,-1.0,5476,0,1101,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,3978,59,155,0.7534435261707989,0.1223776223776223,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,PERFORMANCE,DM_FP_NUMBER_CTOR,3,-1.0,0.0,0.0,-1.0,0.0,-1.0,5476,0,1101,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,3978,59,155,0.7479338842975206,0.1223776223776223,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,PERFORMANCE,DM_NUMBER_CTOR,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,5476,0,1101,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,3978,59,155,0.743801652892562,0.1223776223776223,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,113,PERFORMANCE,DM_NUMBER_CTOR,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,5476,0,1101,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,3978,59,155,0.7245179063360881,0.1223776223776223,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,113,PERFORMANCE,DM_NUMBER_CTOR,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,5476,0,1101,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,3978,59,155,0.7506887052341598,0.1223776223776223,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,PERFORMANCE,DM_NUMBER_CTOR,2,-1.0,0.0,0.0,-1.0,0.0,-1.0,5476,0,1101,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,3978,59,155,0.3856749311294766,0.1223776223776223,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.1524264447196081,-1.0,0.1524264447196081,-1.0,12881,0,1101,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,open
